"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","STALE_RELEASE","2798","3292788","FHR ROD","RM","1525","ADIENT INNOTEC METAL","","","55103522","1","ReleaseID","20220404-001","","","","","13/07/2022 00:00:00","13/07/2022 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3453559-18702Q_V","VNL-AGNES2 F4-D28 CKS","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","1","ReleaseID","20250304-001","","","","","06/03/2025 00:00:00","06/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3453559-187048_V","VNL-AGNES2 F4-D28 CKS","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","2","ReleaseID","20241121-001","","","","","21/11/2024 00:00:00","21/11/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3453559-187063_V","VNL-AGNES2 F4-D28 CKS","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","10","ReleaseID","20241121-001","","","","","21/11/2024 00:00:00","21/11/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3453559-1870G3_V","VNL-AGNES2 F4-D28 CKS","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","11","ReleaseID","20241121-001","","","","","21/11/2024 00:00:00","21/11/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3453559-1870HL_V","VNL-AGNES2 F4-D28 CKS","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","12","ReleaseID","20250304-001","","","","","06/03/2025 00:00:00","06/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1870D6_V","VINYL MORTZ 4MM LAM FOAM","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","3","ReleaseID","20240517-003","","","","","22/05/2024 00:00:00","22/05/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1870D6A_V","VINYL MORTZ 4MM LAM FOAM","No BOM","338953","TMG Automotive","","","55105048","43","ReleaseID","20240624-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1870HL_V","VINYL MORTZ 4MM LAM FOAM","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","5","ReleaseID","20250304-001","","","","","06/03/2025 00:00:00","06/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1870Y5_V","VINYL MORTZ 4MM LAM FOAM","RM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","6","ReleaseID","20240517-003","","","","","22/05/2024 00:00:00","22/05/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1870Y5A_V","VINYL MORTZ 4MM LAM FOAM","No BOM","338953","TMG Automotive","","","55105048","45","ReleaseID","20240624-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1880D6_V","VINYL MORTZ 4MM LAM FOAM","No BOM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","8","ReleaseID","20240517-003","","","","","22/05/2024 00:00:00","22/05/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3569144-1880Y5_V","VINYL MORTZ 4MM LAM FOAM","No BOM","325184","TMG - T.P.e O.R.para a I.A. ","","","55107912","9","ReleaseID","20240517-003","","","","","22/05/2024 00:00:00","22/05/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3704568","FOAM PAD ASSY OVERMOL","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55107876","1","ReleaseID","20250403-001","","","","","05/04/2025 00:00:00","05/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3704568","FOAM PAD ASSY OVERMOL","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55108844","1","ReleaseID","20250319-001","","","","","04/04/2025 00:00:00","04/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3720828","V54X LID FOAM","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55103535","7","ReleaseID","20250327-001","","","","","04/04/2025 00:00:00","04/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3739352-14001U_L","DINAMICA AUTO F5 CKS","No BOM","324587","MIKO SRL","","","55104130","1","ReleaseID","00001","","","","","16/07/2024 00:00:00","16/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","3739454-13801U_L","REMIX-MOTION F4 CKS","No BOM","402017","Kvadrat A/S","","","55104150","2","ReleaseID","20230320-001","","","","","16/07/2024 00:00:00","16/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","381357-N_WR","FABRIC ADHESIVE TAPE","RM","352277","Tesa tape s.r.o.","","","55110796","1","ReleaseID","20250808-003","","","","","27/08/2025 00:00:00","27/08/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","4360291-N_L","J-RTNR 135","RM","320907","COBA AUTOMOTIVE SRO","","","55103419","6","ReleaseID","20240516-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","4998364-18008F_V","FONIO LF010-38 S060","No BOM","409321","Sage Automotive Interiors, R","","","55105082","2","ReleaseID","20240517-003","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","4998364-1800B38_V","FONIO LF010-38 S060","RM","409321","Sage Automotive Interiors, R","","","55105082","1","ReleaseID","20240517-003","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","5013314-1600N_C","FOAM6-D65 NW PES-G38","RM","408957","Sage Automotive Interiors,","","","55107062","6","ReleaseID","20240517-001","","","","","14/07/2024 00:00:00","14/07/2024 00:00:00","Clear release ID or reactivate PO line"
